user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn
1.0,2023-04-15,Premium,699.0,1.1,4.0,1.0,8.0,14.0,Yes
2.0,2023-08-27,Premium,699.0,2.6,6.0,0.0,35.0,1.0,Yes
3.0,2023-10-12,Premium,699.0,14.3,8.0,3.0,2.0,14.0,Yes
4.0,2023-12-11,Basic,199.0,17.6,5.0,2.0,11.0,9.0,Yes
5.0,2023-02-14,Basic,199.0,9.8,5.0,2.0,6.0,38.0,Yes
6.0,2024-10-05,Premium,699.0,13.6,6.0,0.0,30.0,35.0,Yes
7.0,2023-10-24,Premium,699.0,14.6,1.0,0.0,24.0,42.0,Yes
8.0,2024-01-09,Basic,199.0,21.7,6.0,2.0,15.0,29.0,Yes
9.0,2023-03-15,Basic,199.0,9.2,4.0,5.0,24.0,59.0,Yes
10.0,2024-10-17,Premium,699.0,13.6,3.0,1.0,11.0,29.0,No
11.0,2023-11-20,Premium,699.0,5.9,5.0,0.0,36.0,14.0,No
12.0,2024-10-20,Standard,399.0,2.1,5.0,1.0,18.0,41.0,Yes
13.0,2024-08-21,Standard,399.0,7.0,3.0,5.0,10.0,35.0,Yes
14.0,2023-02-18,Standard,399.0,9.4,2.0,4.0,26.0,31.0,Yes
15.0,2024-09-02,Basic,199.0,15.9,6.0,4.0,10.0,4.0,Yes
16.0,2024-11-29,Standard,399.0,6.7,8.0,0.0,34.0,43.0,No
17.0,2024-04-09,Premium,699.0,19.3,5.0,0.0,18.0,18.0,No
18.0,2024-10-02,Basic,199.0,24.3,2.0,4.0,17.0,58.0,Yes
19.0,2024-06-27,Standard,399.0,15.4,2.0,2.0,33.0,48.0,Yes
20.0,2023-11-11,Basic,199.0,12.5,1.0,2.0,21.0,56.0,No
21.0,2023-03-12,Basic,199.0,6.4,1.0,0.0,4.0,46.0,No
22.0,2024-09-13,Premium,699.0,3.6,7.0,4.0,9.0,10.0,Yes
23.0,2024-11-18,Standard,399.0,23.3,3.0,5.0,14.0,19.0,No
24.0,2023-03-07,Premium,699.0,11.2,8.0,3.0,24.0,7.0,Yes
25.0,2024-12-25,Standard,399.0,14.9,3.0,4.0,2.0,14.0,Yes
26.0,2023-10-13,Premium,699.0,6.1,0.0,2.0,4.0,4.0,No
27.0,2024-08-13,Premium,699.0,5.7,2.0,5.0,32.0,59.0,No
28.0,2024-03-17,Standard,399.0,19.7,6.0,1.0,16.0,6.0,Yes
29.0,2023-04-11,Standard,399.0,10.6,0.0,5.0,28.0,41.0,No
30.0,2024-04-04,Basic,199.0,18.3,1.0,1.0,26.0,12.0,No
31.0,2024-03-29,Basic,199.0,5.0,7.0,1.0,28.0,55.0,No
32.0,2023-08-31,Premium,699.0,1.7,8.0,0.0,7.0,5.0,No
33.0,2024-01-24,Basic,199.0,12.4,3.0,3.0,27.0,57.0,Yes
34.0,2024-07-23,Basic,199.0,7.0,7.0,2.0,25.0,27.0,Yes
35.0,2024-07-09,Premium,699.0,4.3,4.0,1.0,32.0,3.0,No
36.0,2023-06-11,Basic,199.0,1.9,7.0,4.0,21.0,58.0,Yes
37.0,2023-08-29,Basic,199.0,2.5,2.0,0.0,33.0,38.0,Yes
38.0,2023-03-25,Standard,399.0,23.6,3.0,4.0,8.0,38.0,Yes
39.0,2023-09-02,Standard,399.0,8.3,4.0,1.0,34.0,42.0,No
40.0,2023-03-16,Standard,399.0,3.7,4.0,3.0,26.0,20.0,No
41.0,2023-09-29,Basic,199.0,15.7,1.0,0.0,30.0,34.0,Yes
42.0,2024-07-10,Basic,199.0,22.1,3.0,2.0,23.0,18.0,Yes
43.0,2023-11-03,Premium,699.0,15.5,8.0,0.0,20.0,42.0,No
44.0,2024-07-20,Premium,699.0,23.5,2.0,2.0,7.0,7.0,No
45.0,2024-10-11,Basic,199.0,7.4,3.0,5.0,18.0,21.0,Yes
46.0,2023-10-11,Standard,399.0,12.5,0.0,0.0,33.0,40.0,No
